feature,information_gain,information_gain_rank,random_forest_importance,random_forest_importance_rank
kurtosis_I,0.8590113991237627,69,0.0069241556556904945,54
mean_I,0.8560461548594254,70,0.003333654831036939,92
near_origin_ratio,0.8547080184147755,71,0.02163555952231926,10
kurtosis_Q,0.8505163874359085,72,0.006331905051759328,56
median_Q,0.8486129283134263,73,0.0033616640599788044,91
range_Q,0.8453783761681226,74,0.004778285816949362,64
range_I,0.8393186043672882,75,0.005144239444466969,62
spectral_centroid,0.8081193928701929,76,0.004767667198011441,65
range_phase,0.7937412046807184,77,0.005690078251281344,59
dominant_freq,0.7913543307785678,78,0.003704507250597372,80
mean_fft_magnitude,0.7891073081172038,79,0.01037447460277355,33
median_inst_freq,0.7832987800250062,80,0.005202944764529384,60
iqr_Q,0.7717387014267647,81,0.004000097404269619,71
iqr_I,0.769033917313624,82,0.003947321716151866,73
corr_I_Q,0.7234714851880266,83,0.0038952595749455364,74
mean_inst_freq,0.6867808892136256,84,0.005937442454565928,58
constellation_area_proxy,0.6547440308422252,85,0.004099133231019383,70
cov_I_I,0.6334163942863187,86,0.0032065493038540716,97
std_I,0.6334010437345019,87,0.003041154323477915,103
cov_Q_Q,0.6325511632212746,88,0.00302993314515661,104
std_Q,0.632537892400332,89,0.0032023603780424142,98
max_phase,0.5928780100593589,90,0.005171039963073496,61
min_phase,0.5907310741358707,91,0.004746440410075399,66
std_ratio_I_Q,0.5779750539375073,92,0.003138935875029848,100
mean_abs_ratio_I_Q,0.5710887719911915,93,0.0029837269506677324,105
cov_I_Q,0.5618879832841714,94,0.0035887070607559203,84
cov_Q_I,0.5618873794194377,95,0.0035267821702796155,85
std_unwrapped_phase,0.5558078748744864,96,0.009318486664432215,44
mean_phase,0.5411283183431297,97,0.003487214432590402,88
spectral_flatness,0.4029960316429202,98,0.00362950434612752,82
skew_I,0.3668008990304843,99,0.0038351909856991924,75
skew_Q,0.3629443534437664,100,0.0037498605968294078,77
skew_inst_freq,0.3173541911274005,101,0.003823441910740374,76
mean_unwrapped_phase,0.3167921830704272,102,0.006213349991015894,57
median_fft_magnitude,0.2382353237197372,103,0.005033773756003017,63
min_fft_magnitude,0.16496907776439107,104,0.0037096955277285664,79
circular_mean_phase,0.0,105,0.0035086467881823274,86
