mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
9.896506309509277,0.05612684470962874,0.24960223833719888,0.006652742627479554,,log2,1,5,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9689201398849654,0.9702693027013126,0.9696436625322318,0.9696110350395033,0.0005512763923930278,27,0.9999955926897804,0.9999973378198945,0.9999978473501488,0.9999969259532745,9.654356283283413e-07
25.651233037312824,0.20132645357686488,0.49419697125752765,0.05490161293669953,,log2,1,5,200,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9698023098409729,0.970986459451732,0.9706202075713568,0.9704696589546873,0.0004950092522038062,11,0.9999967963874045,0.9999976689976334,0.9999982358478607,0.9999975670776329,5.920598878378461e-07
14.82148551940918,0.16686764821367275,0.35570581754048664,0.015137840043797642,,log2,2,2,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9688874018869958,0.970307466969308,0.9699882807106814,0.9697277165223284,0.0006083126836803695,26,0.9999890454048297,0.9999906695714569,0.9999919816789448,0.9999905655517437,1.2009833457760673e-06
22.458839416503906,1.741342837586734,0.46542541186014813,0.051811231346160044,,log2,2,2,200,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9695748091279678,0.9712008321142674,0.9706794576024974,0.9704850329482442,0.0006779077605052281,9,0.9999901790554395,0.9999922936352792,0.9999930134353417,0.9999918287086867,1.2029255753537407e-06
10.051915645599365,0.2035312992083185,0.22807963689168295,0.00736423778681231,,log2,2,5,100,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9695488983984794,0.9706693596513429,0.9699475657075146,0.9700552745857789,0.00046372352153330903,19,0.9999774093018327,0.9999817148637393,0.9999809063186283,0.9999800101614001,1.8684733815492482e-06
22.215423981348675,0.07486729879545,0.44953163464864093,0.015836744061611088,,log2,2,5,200,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.970319390317025,0.97140163120821,0.9705405207513509,0.9707538474255286,0.00046686367680158193,4,0.9999802179732363,0.9999835300185412,0.9999833264886856,0.9999823581601545,1.5156200345517363e-06
14.656394402186075,0.059930138899013885,0.30287917455037433,0.010444803233052795,30,sqrt,1,2,100,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9676853520179302,0.9695769392550057,0.9696522697612044,0.9689715203447135,0.0009099781663704477,31,1.0,1.0,1.0,1.0,0.0
26.541261355082195,0.44564152500984755,0.42642490069071454,0.0006637528234057608,30,sqrt,1,2,200,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9692627484596086,0.9707658064876011,0.9704833849231298,0.9701706466234464,0.000652252401015034,16,1.0,1.0,1.0,1.0,0.0
12.55428171157837,0.08694313002783943,0.2345266342163086,0.010165754343585139,30,sqrt,1,5,100,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9688375634044069,0.9707980926708997,0.9704173913767289,0.9700176824840119,0.0008488204169636644,22,0.9999963951439597,0.9999971467543566,0.9999977199769313,0.9999970872917493,5.424926739649517e-07
25.527783393859863,0.03988950980218717,0.4001133441925049,0.011173881378259419,30,sqrt,1,5,200,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9696517527610677,0.9716254724371103,0.9707564614224518,0.9706778955402099,0.0008076805425780233,8,0.999997325003548,0.9999976753736152,0.9999983441216898,0.9999977814996176,4.227666756170966e-07
12.772566159566244,0.16078147525575237,0.2409837245941162,0.006180120208790854,30,sqrt,2,2,100,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9694021304799934,0.9709512800733414,0.9702491720737673,0.9702008608757007,0.0006333596106144809,15,0.9999887046503971,0.999992599350628,0.9999923128468186,0.9999912056159479,1.772313482955705e-06
24.482410828272503,0.1945927376666902,0.41138068834940594,0.009539871744403171,30,sqrt,2,2,200,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9702333082252821,0.9716123671160978,0.9709516317268029,0.9709324356893942,0.0005631620382409748,1,0.9999907394902243,0.9999928222592106,0.9999935101975369,0.9999923573156573,1.177945707247209e-06
11.878561655680338,0.09017213367425113,0.24115896224975586,0.0029094546364746452,30,sqrt,2,5,100,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9693369671516687,0.9710128821931295,0.9697679914801631,0.9700392802749871,0.0007105730148720066,20,0.9999783010966019,0.9999826383463073,0.999983874216679,0.9999816045531961,2.38976470195255e-06
24.734885533650715,0.21381921470620988,0.38706302642822266,0.005874623174394579,30,sqrt,2,5,200,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9700463987608713,0.9714587438417936,0.9706005112830711,0.9707018846285788,0.0005810261458752351,5,0.9999811287775694,0.9999850139815852,0.999985504637272,0.9999838824654755,1.957427489344568e-06
10.996678908665976,0.06564491493767656,0.31255420049031574,0.043152496005942204,30,log2,1,2,100,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9681367593259744,0.9696316046186536,0.9691817735615882,0.9689833791687388,0.0006261846711617122,30,1.0,1.0,1.0,1.0,0.0
21.390856663386028,0.1961473774715657,0.4174360434214274,0.002036834218189151,30,log2,1,2,200,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9692891746358643,0.9707563759434953,0.9704422991712653,0.9701626165835416,0.0006307861136103133,17,1.0,1.0,1.0,1.0,0.0
10.108879327774048,0.04451364097499511,0.2396074136098226,0.003316201675031113,30,log2,1,5,100,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9689108927942628,0.970407918164791,0.9700669078998101,0.9697952396196213,0.0006406371728453022,25,0.9999952423882499,0.9999967646300305,0.9999978728343462,0.9999966266175422,1.0783002833323698e-06
20.889471848805744,0.1483560228910036,0.39557520548502606,0.0037023110126061655,30,log2,1,5,200,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9697119121719262,0.9710339995096203,0.9706677976568941,0.9704712364461469,0.000557348463291804,10,0.9999967709000921,0.9999973505593971,0.999998369598618,0.9999974970193691,6.608313636200952e-07
10.469626108805338,0.07877266269568615,0.24027562141418457,0.006763921359929774,30,log2,2,2,100,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9690712819581688,0.9698642682078779,0.9697012269638727,0.9695455923766398,0.0003419292242694572,28,0.9999883989542593,0.9999902364989859,0.9999916696052673,0.9999901016861709,1.338636215308156e-06
19.56645695368449,0.5920750169887753,0.35260240236918133,0.047798926225567244,30,log2,2,2,200,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9699004161061854,0.9708920017555007,0.9703144987156804,0.9703689721924555,0.000406641565948855,12,0.999989548532103,0.9999917204454151,0.9999929370071535,0.9999914019948904,1.4015464897704741e-06
9.895295937856039,0.03354666967345887,0.22745045026143393,0.015239129050124409,30,log2,2,5,100,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9693210771679424,0.9709198016195592,0.9698230527807755,0.9700213105227591,0.0006675625150459195,21,0.9999765559109316,0.9999821224478594,0.9999814922568216,0.999980056871871,2.488886070769342e-06
